#deck:Terraform AWS Mastery::Phase 1 - Foundations::00-tf-hcl-basics
#separator:Comma
#columns:Front,Back,Tags
"You run terraform apply on a config that already matches current infrastructure. What happens and why?","Plan shows 0 to add, 0 to change, 0 to destroy. No API calls made. Terraform compares desired state (.tf files) against current state (.tfstate), finds no diff, takes no action. This is idempotency — applying the same desired state twice produces the same result as once.","demo00,idempotency,workflow,ta004-obj1,needs-verification"
"A team member manually tweaks a server config at 2am to fix an incident. Nobody updates the runbook. Six months later, staging and prod have different configs. What is this called and what is the root cause?","This is DRIFT — environments diverging silently over time. Root cause: manual changes made outside version control with no audit trail. IaC prevents this by requiring all changes to go through code review and automated apply.","demo00,drift,ta004-obj1"
"Name the four failure modes of manual Console-based infrastructure management.","1. Drift — environments diverge silently. 2. No audit trail — cannot answer who changed what and when. 3. Not repeatable — recreating environments requires clicking screens again. 4. Bus factor — knowledge leaves when the person does.","demo00,iac-concepts,ta004-obj1"
"Should .terraform.lock.hcl be committed to version control? Why?","YES. Records exact provider version AND SHA256 hash of downloaded binary. Without it: Engineer A gets provider v2.9.0, Engineer B gets v2.9.1 released yesterday with a breaking bug. Plans differ for identical configs.","demo00,lockfile,best-practices,ta004-obj2"
"Should .terraform/ be committed to version control? Why?","NO. Contains downloaded provider plugin binaries — can be hundreds of MB. Fully reproduced by running terraform init. Add to .gitignore.","demo00,lockfile,best-practices,ta004-obj2"
"Should terraform.tfstate be committed to Git? Why?","NO. May contain sensitive values in plain text. Also causes merge conflicts when multiple engineers apply simultaneously. In teams: use a remote backend (S3 + locking) — covered in Demo 01.","demo00,state,security,ta004-obj5"
"What is the difference between declarative and imperative IaC?","Declarative: describe WHAT end state you want — Terraform figures out the steps. Idempotent: run twice and nothing changes. Imperative: describe HOW to get there — every step and existence check. Run twice: error if resource already exists. Examples: bash scripts, Python boto3.","demo00,iac-concepts,ta004-obj1"
"Name the 5 advantages of IaC the TA-004 exam tests.","1. Consistency — no configuration drift. 2. Repeatability — identical environments every time. 3. Version control — full audit trail in Git. 4. Automation — no manual clicks. 5. Self-documentation — the code IS the documentation.","demo00,iac-concepts,ta004-obj1b"
"Does CloudFormation support multi-cloud? Does Terraform?","CloudFormation: NO — AWS only. Terraform: YES — AWS, Azure, GCP, Kubernetes, Datadog, GitHub and 3000+ providers through the same workflow and HCL syntax.","demo00,tool-comparison,ta004-obj1c"
"What does terraform init do to the filesystem? Name all 3 effects.","1. Downloads provider plugins → .terraform/providers/. 2. Creates or updates .terraform.lock.hcl with exact versions and SHA256 hashes. 3. Initialises the backend (local by default).","demo00,workflow,init,ta004-obj3,live-verified"
"What does terraform plan do? Does it change any infrastructure?","Reads .tf files (desired state), reads .tfstate (last known state), calls provider Read() API (actual state), calculates diff, prints execution plan. Makes ZERO changes to infrastructure or state. Always review before applying.","demo00,workflow,plan,ta004-obj3,needs-verification"
"What do the plan symbols +, ~, -, -/+ mean?","+ create: does not exist, will be created. ~ update in-place: exists, arguments change without replacement. - destroy: exists, will be deleted. -/+ replace: argument change forces destroy then recreate.","demo00,workflow,plan,ta004-obj3"
"What does (known after apply) mean in a terraform plan output?","The value cannot be determined until the resource is created. Example: EC2 public IP — AWS assigns it at creation time. Terraform shows this placeholder in the plan.","demo00,workflow,plan,ta004-obj3"
"What does terraform plan -out=tfplan + terraform apply tfplan guarantee?","apply tfplan executes the exact binary snapshot from plan time — does NOT re-read .tf files. Edits made after planning are silently ignored. In CI/CD: plan on PR open (human reviews), apply on merge (executes exactly what was reviewed).","demo00,workflow,plan,best-practices,needs-verification"
"What is the difference between variable and locals in Terraform?","variable: accepts INPUT from outside — tfvars, CLI flags, env vars, or default. Reference: var.name. locals: computed values inside the config. Accept NO external input. Reference: local.name. Block is plural (locals {}), reference is singular (local.x).","demo00,hcl,variables,ta004-obj4"
"What is the difference between map(string) and object({...}) in HCL?","map(string): arbitrary key-value pairs where ALL values must be strings. Keys not predefined. Good for tags. object({...}): FIXED schema where each key has its own type. Good for structured config with mixed types.","demo00,hcl,types,ta004-obj4"
"What type is list(object({name=string, cidr=string}))? Give a use case.","A list of objects — each element is a structured record with fixed schema. Used for subnet definitions, ECS container definitions, DB replica configs. Access: var.subnets[0].cidr","demo00,hcl,types,ta004-obj4"
"What is the difference between list and set in HCL?","list: ordered, allows duplicates, index access via [n]. set: unordered, no duplicates, NO index access. Use set when order does not matter and uniqueness is required — e.g. security group IDs, AZ names.","demo00,hcl,types,ta004-obj4"
"How does Terraform determine resource creation order?","Builds a Directed Acyclic Graph (DAG) from attribute references. If B references A's output, Terraform creates A first — implicit dependency. depends_on only needed when dependency is not expressed as an attribute reference.","demo00,dependency,graph,ta004-obj4"
"What is terraform console? What does REPL stand for?","Interactive Read-Eval-Print Loop for testing HCL expressions. Reads input, Evaluates it, Prints result, Loops. No apply, no API calls, no state changes. Each Enter = one REPL cycle.","demo00,hcl,console,ta004-obj4"
"Fix this validation block: condition = contains(['dev','prod'], env)","Two errors: (1) Single quotes invalid in HCL — must use double quotes. (2) env is not a valid reference — must use var.env. Correct: condition = contains([\"dev\", \"prod\"], var.env)","demo00,hcl,validation,break-fix"
"Fix this argument: upper = False","HCL booleans are always lowercase. False with capital F is invalid HCL. Fix: upper = false","demo00,hcl,types,break-fix"
"Fix this output value reference: ${random.id.result}","random is a provider name, not a resource type. Resource attribute references require the full resource TYPE. Fix: random_string.id.result — format is resource_type.local_name.attribute","demo00,hcl,references,break-fix"
"What does terraform fmt do and when should you run it?","Auto-formats .tf files to canonical style: 2-space indent, aligned = signs, consistent spacing. Run before every git commit. terraform fmt -check exits non-zero if files need formatting (use in CI).","demo00,workflow,fmt,ta004-obj3,live-verified"
"What is the Terraform Registry?","registry.terraform.io — public repository of providers and modules. terraform init downloads providers from here. URL format: registry.terraform.io/namespace/provider. Example: registry.terraform.io/hashicorp/aws.","demo00,providers,registry,ta004-obj2"
"What is the key difference between Terraform and OpenTofu?","Both use identical HCL syntax and workflow. Terraform: HashiCorp (IBM), BUSL 1.1 license, v1.15.5. OpenTofu: Linux Foundation fork, MPL 2.0 license, v1.11.6. Choose Terraform for cert prep. Choose OpenTofu only if org has a hard OSS license requirement.","demo00,terraform-vs-opentofu"
"What happens to terraform.tfstate after terraform destroy?","The state file is NOT deleted. The resources array becomes empty. Serial number increments. The file remains on disk. Running terraform apply after destroy creates everything fresh.","demo00,state,destroy,ta004-obj5,live-verified"
"What is path.module in Terraform?","Built-in reference that evaluates to the filesystem path of the directory containing the .tf file that uses it. Used to build relative file paths that work regardless of where terraform is run from.","demo00,hcl,references,ta004-obj4"
"What are terraform.tfvars and *.auto.tfvars? When are they loaded?","terraform.tfvars: auto-loaded on every plan/apply — no flags needed. *.auto.tfvars: auto-loaded in lexical order. Any other .tfvars name requires -var-file=filename.tfvars. Precedence: default → TF_VAR_ → terraform.tfvars → *.auto.tfvars → -var-file → -var (last wins).","demo00,variables,tfvars,ta004-obj4,needs-verification"
"When does random_string regenerate? How do you force it?","Generates once on first apply, stored in state, reused forever. Changes when: (1) config argument changes (length, special, etc.), (2) forced with: terraform apply -replace=random_string.suffix. Never use terraform taint — deprecated since v0.15.2.","demo00,random,replace,needs-verification"
"What does <<EOT display mean in terraform output?","When an output value is a multi-line string (heredoc), the terminal shows it as <<EOT ... EOT. This is correct behaviour — Terraform's way of displaying multi-line strings. Not an error. Use terraform output -json to see it as a plain JSON string.","demo00,outputs,heredoc,needs-verification"
"What is the difference between <<EOT and <<-EOT in HCL?","<<EOT: all leading whitespace preserved, closing EOT must be at column 0. <<-EOT: Terraform finds the least-indented line and strips that many spaces from all lines — closing EOT can be freely indented. Use <<-EOT in all HCL configs.","demo00,hcl,heredoc,ta004-obj4"
"In HCL map(string) — what does the type in parentheses mean?","The type in parentheses is the VALUE type constraint. map(string) = every value must be a string. map(number) = every value must be a number. The keys are always strings in any map.","demo00,hcl,types,ta004-obj4"
"What is the correct Terraform term for the second label in resource 'aws_s3_bucket' 'app_data'?","Local name (or just name) — not local variable. app_data is the local name. Local variable is reserved for locals {} block values referenced as local.x. The local name is used in attribute references: aws_s3_bucket.app_data.arn","demo00,hcl,terminology,ta004-obj4"
