#deck:Terraform AWS Mastery::Phase 1 - Foundations::03-core-workflow
#separator:Comma
#columns:Front,Back,Tags
"You run terraform fmt -check -recursive in a project where 05-main.tf is misformatted. What exit code does fmt -check return, and what does it mean?","Exit code 3. -check exit codes: 0 = already formatted, 1 = CLI/usage error, 2 = HCL parse error, 3 = valid HCL but not canonically formatted (this is the one CI should watch for). -check never writes to disk regardless of the result.","demo03,fmt,cli"
"What is the difference between terraform validate and terraform plan in terms of API calls made?","terraform validate makes ZERO API calls — it only checks internal configuration consistency (syntax, references, types, required arguments). terraform plan makes read-only API calls during its refresh step to check current resource state before computing the diff.","demo03,validate,plan,cli"
"A queue policy in your Terraform config has a syntactically valid but incorrect ARN in its Condition block. Will terraform validate catch this?","No. terraform validate cannot catch semantically incorrect values like a wrong-but-valid-format ARN — it only checks that the HCL is internally consistent (correct argument names, types, references). This kind of error passes validate, plan, and apply without any error.","demo03,validate,limitations"
"You run terraform plan -out=tfplan, then someone else applies a change to the same resources before you run terraform apply tfplan. What happens?","terraform apply tfplan FAILS rather than silently applying a stale plan. Terraform detects that the saved plan no longer matches current state and refuses to proceed — this is the safety guarantee that makes saved plans suitable for CI/CD approval gates.","demo03,plan,apply,cicd"
"What is the practical difference between terraform apply (no saved plan) and terraform apply tfplan?","terraform apply (no saved plan) re-reads .tf files and re-refreshes state before applying — it reflects the CURRENT config and state. terraform apply tfplan executes EXACTLY the plan that was saved, failing if anything has changed since.","demo03,plan,apply"
"You run terraform apply -target=aws_sqs_queue.notifications when TWO resources have pending changes (the queue and an unrelated SNS topic). What happens to the topic's pending change?","It remains UNAPPLIED. -target scopes the apply to the named resource and its dependencies only — it does not apply other unrelated pending changes, even if they exist in the same plan. A follow-up plain terraform plan/apply is needed to apply the topic's change.","demo03,target,plan"
"Why is -target described as a trap rather than just a convenience flag?","Because it's easy to forget the required follow-up: after a targeted apply, ANY other pending changes remain unapplied — silently — until someone runs a plain terraform plan and notices them. The flag works exactly as documented; the risk is entirely about the follow-up step being skipped.","demo03,target,best-practice"
"What is -target actually a substitute for, and what should be used instead for the underlying problem (large/slow plans)?","-target is a short-term escape hatch, NOT a substitute for splitting a large configuration into smaller, independently-applied configurations (separate modules/state files). If plans are routinely too large or slow, the structural fix is splitting the configuration, not routinely using -target.","demo03,target,best-practice"
"terraform plan -refresh-only shows a change to a resource's tags, but a normal terraform plan shows no changes for that resource. Explain why both can be true.","-refresh-only isolates DRIFT — differences between actual AWS state and the .tfstate file — without considering configuration changes. A normal plan compares CONFIG vs STATE (post-refresh). If the drifted tag matches what the CONFIG already specifies... actually the more common case: -refresh-only shows drift (state vs reality), while normal plan, after refreshing, may show 0 changes if the drifted value happens to also match config, OR may show the SAME change as a config-vs-reality diff. The key distinction: -refresh-only's output is framed as 'this changed outside Terraform', while normal plan's output is framed as 'this differs from your config'.","demo03,refresh-only,drift"
"What is the functional difference between terraform plan -refresh-only and terraform plan -refresh=false?","-refresh-only actively checks AWS for drift and reports ONLY drift (no config changes shown), making no changes itself. -refresh=false SKIPS checking AWS entirely and plans purely from the existing state file — faster, but could miss real drift. They are near-opposites: one specifically looks for drift, the other specifically avoids checking.","demo03,refresh-only,refresh-false"
