#deck:Terraform AWS Mastery::Phase 1 - Foundations::07-outputs-remote-state
#separator:Comma
#columns:Front,Back,Tags
"An output is marked sensitive = true. Which terraform output command actually redacts it?","Only the bare, no-argument terraform output (listing all outputs) redacts to <sensitive>. Naming the output directly — terraform output NAME — prints the plaintext value immediately, with no -json or -raw flag needed at all.","demo07,outputs,sensitive,ta004-obj4h"
"An output's value references a variable marked sensitive = true, but the output itself has no sensitive argument. What happens?","terraform plan errors: 'Output refers to sensitive values.' Terraform requires the output itself to be marked sensitive = true if its value references anything already sensitive — this is enforced, not just a convention.","demo07,outputs,sensitive,break-fix"
"Can an ephemeral = true output be declared in a root module?","No. Ephemeral outputs are restricted to child modules only. Declaring one in the root module errors: 'Ephemeral outputs not allowed in root module.' A root module's outputs are the final result of apply, with nothing downstream to honor an ephemeral guarantee.","demo07,outputs,ephemeral,ta004-obj4h"
"When is depends_on actually needed on an output block?","Only when the value expression doesn't already imply the dependency you need. Normally referencing a resource attribute (e.g. aws_iam_role.deploy.arn) creates an implicit dependency automatically — depends_on is for the rarer case where the value doesn't reference what it logically depends on.","demo07,outputs,depends_on"
"What access does data.terraform_remote_state grant to the source configuration's resources?","None beyond read access to that configuration's state file. It's read-only by construction — there is no path through terraform_remote_state to modify the source configuration's resources or even access its .tf files.","demo07,remote-state,ta004-obj6c"
"A sensitive output's value is read via terraform_remote_state in a second configuration. Is it still protected there?","Only if the second configuration also marks its own output sensitive when re-exposing that value — the redaction requirement propagates through remote state the same way it propagates through any other reference. The underlying value itself was always readable by anyone with state-backend read access.","demo07,remote-state,sensitive"
"What is the difference between an SSM aws_ssm_parameter type of String vs SecureString?","String stores the value in plaintext in Parameter Store. SecureString encrypts it with a KMS key, decrypted only on read by callers with kms:Decrypt permission. Any value that was sensitive upstream should use SecureString.","demo07,ssm"
"You read a SecureString SSM parameter with aws ssm get-parameter but forget --with-decryption. What do you get back?","The KMS-encrypted ciphertext, not the plaintext value. --with-decryption is required to get the actual decrypted value back for a SecureString parameter.","demo07,ssm,break-fix"
"A sensitive Terraform variable is written into an aws_ssm_parameter with type = String. Does terraform plan or apply catch this?","No — this succeeds silently. sensitive only affects Terraform's own terminal/plan display; it does not enforce anything about what resource arguments that value flows into afterward. This has to be caught by review or by inspecting the parameter's actual Type after the fact.","demo07,ssm,sensitive,break-fix"
"When would you choose SSM Parameter Store over terraform_remote_state for sharing a value between two Terraform configs on the same team?","When a non-Terraform consumer also needs the value (an application reading config at runtime), or when you don't want to grant state-backend read access just to share one value. Remote state is simpler when both sides are Terraform and state-backend read access is acceptable.","demo07,ssm,remote-state,decision"
"List the four terraform output display variants and what each is for.","terraform output (all, sensitive redacted) — for humans. terraform output NAME (one, sensitive redacted) — for humans, one value. terraform output -json (all, plaintext even if sensitive) — for scripted JSON parsing. terraform output -raw NAME (one, no quotes, plaintext even if sensitive) — for shell variable capture.","demo07,outputs,cli,ta004-obj4h"
"Rank the four value-sharing patterns (remote state, SSM, env vars, hardcoding) by write coupling — from none to full.","No coupling (fully decoupled reads): terraform_remote_state and SSM Parameter Store — both read independently, no write-side coordination needed. Manual per-run coupling: environment variables (TF_VAR_) — set at runtime, not persistent. Full coupling: hardcoding a value — breaks immediately the moment the source changes. Hardcoding is appropriate for nothing that can ever change.","demo07,sharing-patterns,comparison"
