#deck:Terraform AWS Mastery::Phase 1 - Foundations::05-variables-in-depth
#separator:Comma
#columns:Front,Back,Tags
"A variable is marked sensitive = true. Is its value encrypted or protected in terraform.tfstate?","No. sensitive = true ONLY redacts the value from terminal output (plan/apply logs, terraform output display). The value is written to terraform.tfstate in plaintext, exactly like any other value. State security requires storing state securely (encrypted S3 backend, IAM access control) — not the sensitive flag.","demo05,variables,sensitive,ta004"
"What is the difference between sensitive = true and ephemeral = true on a variable?","sensitive = true: value is redacted from terminal output but IS written to state and plan files. ephemeral = true: value exists only in memory during plan/apply — NEVER written to state, plan files, or logs. Ephemeral values can only flow into ephemeral outputs (child modules only) or write-only resource arguments.","demo05,variables,sensitive,ephemeral,ta004"
"What are the two valid ephemeral contexts for an ephemeral variable value?","(1) An ephemeral = true output block in a child module (NOT a root module). (2) A write_only resource argument (Terraform 1.10+). Regular resource arguments are NOT ephemeral contexts.","demo05,variables,ephemeral"
"What does nullable = false on a variable do?","If null is passed as the variable value, the default is used instead. By default (nullable = true), explicitly passing null overrides the variable to null — even if a default exists. nullable = false prevents this: null input → default is used.","demo05,variables,nullable"
"A validation block's condition returns the string 'dev' instead of a boolean. What happens?","terraform validate errors: 'A condition expression must return either true or false.' The condition must be a boolean expression — use contains(), can(), regex(), or comparison operators. A string is not valid.","demo05,validation,ta004"
"Inside a validation block, what is the ONLY variable reference allowed in the condition, and why?","Only var.<this_variable>. Validation runs during variable resolution, before other variables are guaranteed resolved and before resources exist — referencing anything else would validate against a moving or nonexistent target.","demo05,validation"
"State the variable value precedence order from highest to lowest.","1. CLI -var flag, 2. CLI -var-file flag, 3. *.auto.tfvars files (alphabetical), 4. terraform.tfvars, 5. TF_VAR_ environment variables, 6. default value in the variable block, 7. interactive prompt (avoided in CI).","demo05,variables,precedence,ta004"
"What does can(regex('pattern', var.x)) return when the pattern does not match?","false — regex() errors when there is no match, and can() converts any error into false. This is the idiomatic pattern for regex-based validation: can(regex(...)) returns true on match, false on no match.","demo05,validation,can,regex"
"What does alltrue([]) return?","true — alltrue() returns true if ALL elements are true. An empty list satisfies this vacuously (no false elements). This is why validation conditions using alltrue([for item in var.list : ...]) pass when the list is empty.","demo05,functions,alltrue"
"What is the difference between list(string), set(string), and map(string)?","list: ordered, allows duplicates, indexed by position [0]. set: unordered, no duplicates, no positional index — sets have no literal syntax, use toset([...]). map: key-value pairs, keys are strings, no guaranteed order. All three require all elements to be the same type.","demo05,variables,types,ta004"
"Does var.retry_count + 'extra' work if retry_count is type = number?","No — Terraform errors with an invalid operand type. The + operator requires both sides to be numbers. To combine a number into a descriptive string, use string interpolation instead: ${var.retry_count} extra wrapped in quotes.","demo05,operators,break-fix"
"Why is converting a number to a string just to compare it to a string literal (e.g. tostring(var.n) == '3') considered a design smell?","It adds an unnecessary conversion step for no functional benefit — the direct comparison var.n == 3 is clearer and matches the variable's actual declared type. Type conversion functions exist for genuine type mismatches (e.g. a CLI-provided string that needs to become a number), not for making same-type comparisons feel more explicit.","demo05,functions,type-conversion"
"HCL has no if statement. What is the only conditional mechanism, and what is its syntax?","The conditional operator: condition ? value_if_true : value_if_false. There is no if statement equivalent in HCL — all conditional logic goes through this operator (or, for resource creation, count = var.create ? 1 : 0).","demo05,language,conditional"
"What does contains(['dev','staging','prod'], var.environment) check, and where is it commonly used?","Whether var.environment's value is one of the three listed strings — returns true/false. Commonly used inside a validation block's condition to restrict a variable to an allowed set of values.","demo05,functions,contains,ta004"
"A caller passes -var='custom_role_name=null' to a variable with nullable = false and a default set. What actually happens?","Terraform silently substitutes the default value — null never gets through. There is no error; this is a design behavior, not a bug, and is a common source of confusion when someone expects null to flow through as a meaningful signal.","demo05,variables,nullable,break-fix"
"What is an 'ephemeral context' in Terraform, defined precisely?","A location where Terraform explicitly guarantees a value will never be persisted to state. Exactly two currently qualify: an ephemeral = true output in a child module, and a write_only resource argument (1.10+). A regular resource argument is NOT an ephemeral context.","demo05,ephemeral,terms-of-art"
