#deck:Terraform AWS Mastery::Phase 1 - Foundations::05-variables-locals-outputs
#separator:Comma
#columns:Front,Back,Tags
"A variable is marked sensitive = true. Is its value encrypted or protected in terraform.tfstate?","No. sensitive = true ONLY redacts the value from terminal output (plan/apply logs, terraform output display). The value is written to terraform.tfstate in plaintext, exactly like any other value. State security requires storing state securely (encrypted S3 backend, IAM access control) — not the sensitive flag.","demo05,variables,sensitive,ta004"
"What is the difference between sensitive = true and ephemeral = true on a variable?","sensitive = true: value is redacted from terminal output but IS written to state and plan files. ephemeral = true: value exists only in memory during plan/apply — NEVER written to state, plan files, or logs. Ephemeral values can only flow into ephemeral outputs (child modules only) or write-only resource arguments.","demo05,variables,sensitive,ephemeral,ta004"
"What are the two valid ephemeral contexts for an ephemeral variable value?","(1) An ephemeral = true output block in a child module (NOT a root module — ephemeral outputs are invalid in root modules and error at validate). (2) A write_only resource argument (Terraform 1.10+, covered in Demo 08). Regular resource arguments are NOT ephemeral contexts.","demo05,variables,ephemeral"
"What does nullable = false on a variable do?","If null is passed as the variable value, the default is used instead. By default (nullable = true), explicitly passing null overrides the variable to null — even if a default exists. nullable = false prevents this: null input → default is used.","demo05,variables,nullable"
"A validation block's condition returns the string 'dev' instead of a boolean. What happens?","terraform validate errors: 'A condition expression must return either true or false.' The condition must be a boolean expression — use contains(), can(), regex(), or comparison operators. A string is not valid.","demo05,validation,ta004"
"Inside a validation block, what is the ONLY variable reference allowed in the condition?","Only var.<this_variable> — the variable being validated. You cannot reference other variables, locals, resources, or data sources. Attempting to do so errors with 'Invalid reference.'","demo05,validation"
"State the variable value precedence order from highest to lowest.","1. CLI -var flag, 2. CLI -var-file flag, 3. *.auto.tfvars files (alphabetical), 4. terraform.tfvars, 5. TF_VAR_ environment variables, 6. default value in the variable block, 7. interactive prompt (avoided in CI).","demo05,variables,precedence,ta004"
"What is the distinction test for variable vs. local?","If you would ever want to override this value from outside the configuration (different per environment, engineer, or run) — it is a variable. If it is always derived from other values in the configuration and never needs external input — it is a local. Locals earn their place through transformation, not pass-through.","demo05,locals,variables,distinction"
"What are three key differences between variables and locals?","(1) Variables can be set from outside (CLI, env, tfvars); locals cannot. (2) Variables have type/description/sensitive/nullable/validation arguments; locals have none of these. (3) Locals can reference resources and data sources; variables cannot (only var.<this_variable> in validation).","demo05,variables,locals,comparison"
"Do locals have a type argument? How is a local's type determined?","No type argument exists for locals. Terraform infers the type from the assigned expression. A locals block with all string values is inferred as map(string). Mixed value types produce object({...}). You cannot declare a type constraint on a local.","demo05,locals,types"
"What type does Terraform infer for a local defined as { Project = var.project, Environment = var.environment } when both variables are type = string?","map(string) — all values are strings. If any value were a different type (e.g. a number), Terraform would infer object({...}) instead.","demo05,locals,types"
"What is the difference between list(string), set(string), and map(string)?","list: ordered, allows duplicates, indexed by position [0]. set: unordered, no duplicates, no positional index — sets have no literal syntax, use toset([...]). map: key-value pairs, keys are strings, no guaranteed order. All three require all elements to be the same type.","demo05,variables,types,ta004"
"What does can(regex('pattern', var.x)) return when the pattern does not match?","false — regex() errors when there is no match, and can() converts any error into false. This is the idiomatic pattern for regex-based validation: can(regex(...)) returns true on match, false on no match.","demo05,validation,can,regex"
"What does alltrue([]) return?","true — alltrue() returns true if ALL elements are true. An empty list satisfies this vacuously (no false elements). This is why validation conditions using alltrue([for item in var.list : ...]) pass when the list is empty.","demo05,functions,alltrue"
"What does coalesce(null, '', 'first-real', 'second') return?","'first-real' — coalesce() skips both null AND empty string (''), returning the first value that is neither. Empty string is treated the same as null.","demo05,locals,coalesce,ta004"
