#deck:Terraform AWS Mastery::Phase 1 - Foundations::09-expressions-functions
#separator:Comma
#columns:Front,Back,Tags
"What is the syntax difference between a list-producing and a map-producing for expression?","List-producing: [for x in collection : expr] — square brackets. Map-producing: {for x in collection : key_expr => value_expr} — curly braces and =>. Mixing them (e.g. brackets with =>) is a syntax error.","demo09,for-expression,ta004-obj4e"
"Does if inside a for expression transform an element or exclude it?","Exclude it entirely. if in a for expression filters — non-matching elements are removed from the result completely, not transformed into a null/default value. There is no else branch.","demo09,for-expression,if,ta004-obj4e"
"Two services map to the same tier in {for name, tier in services : tier => name}, written without the ... suffix. What happens?","Last-write-wins silently — only the last-processed service for that tier survives in the result; the earlier one is overwritten with no error. Adding ... after the value expression (tier => name...) collects all matches into a list instead.","demo09,for-expression,grouping,ta004-obj4e"
"What is the difference between lookup(map, 'key', default) and map['key']?","map['key'] errors if the key doesn't exist. lookup(map, 'key', default) returns the default value instead of erroring. Use lookup() when a missing key is expected and should degrade gracefully; use index syntax when it should be a hard error.","demo09,functions,lookup,ta004-obj4e"
"What does zipmap(['a','b'], [1,2]) return?","{ a = 1, b = 2 } — zipmap combines a list of keys and a parallel list of values (same length, same order) into a single map. It's the inverse of using keys()/values() to split a map into two lists.","demo09,functions,zipmap"
"What does flatten([['a','b'], ['c']]) return?","['a', 'b', 'c'] — flatten collapses a list of lists into a single flat list. Commonly needed after a for expression that itself produces a list per source element.","demo09,functions,flatten"
"A for_each-driven metric filter shows Sum: 0 even though matching log lines clearly exist in the log group. What's the most likely cause?","The log events were written before the metric filter was created — filters only process events going forward from their own creation, not retroactively. Confirm by checking event timestamps against the filter's creation time.","demo09,metric-filter,troubleshooting"
"Why does a for expression's if clause matter more than it might seem for validation-style filtering?","Because it's the ONLY filtering mechanism for expressions have — there's no separate filter() function. Any collection filtering in Terraform HCL goes through a for expression's if clause.","demo09,for-expression,if"
"What loop variable(s) do you get iterating a map with a single variable, e.g. for name in var.service_config?","Only the key (name) — the value is not accessible with a single loop variable on a map. Use two loop variables (for name, config in var.service_config) to access both key and value.","demo09,for-expression,break-fix"
"Why does inverting a map ({for k,v in m : v => k}) risk silently losing entries?","If two original values are identical, they'd collide as the same new key. Without the ... grouping suffix, this is last-write-wins — one of the two entries silently disappears from the result, with no error.","demo09,for-expression,inversion,ta004-obj4e"
"In a for_each-driven resource where for_each = var.service_config (a map), what does each.key refer to for a given instance?","The map key for that instance — e.g. the string 'billing'. each.value is that key's corresponding map value (e.g. the object { retention_days = 90, tier = 'critical' }). Both are available inside the resource block for that specific instance.","demo09,for-each,ta004-obj4e"
"After applying 3 for_each-driven log groups and 3 for_each-driven metric filters for the first time, what does terraform apply report?","Resources: 6 added — each for_each instance counts individually toward the tally, regardless of how few resource blocks produced them (2 resource blocks, 6 total instances).","demo09,for-each,apply"
