#deck:Terraform AWS Mastery::Phase 1 - Foundations::06-locals-in-depth
#separator:Comma
#columns:Front,Back,Tags
"What is the distinction test for variable vs. local?","If you would ever want to override this value from outside the configuration (different per environment, engineer, or run) — it is a variable. If it is always derived from other values in the configuration and never needs external input — it is a local. Locals earn their place through transformation, not pass-through.","demo06,locals,variables,distinction"
"What are three key differences between variables and locals?","(1) Variables can be set from outside (CLI, env, tfvars); locals cannot. (2) Variables have type/description/sensitive/nullable/validation arguments; locals have none of these. (3) Locals can reference resources and data sources; variables cannot (only var.<this_variable> in validation).","demo06,variables,locals,comparison"
"Do locals have a type argument? How is a local's type determined?","No type argument exists for locals. Terraform infers the type from the assigned expression. A locals block with all string values is inferred as map(string). Mixed value types produce object({...}). You cannot declare a type constraint on a local.","demo06,locals,types"
"What type does Terraform infer for a local defined as { Project = var.project, Environment = var.environment } when both variables are type = string?","map(string) — all values are strings. If any value were a different type (e.g. a number), Terraform would infer object({...}) instead.","demo06,locals,types"
"What does coalesce(null, '', 'first-real', 'second') return?","'first-real' — coalesce() skips both null AND empty string (''), returning the first value that is neither. Empty string is treated the same as null.","demo06,locals,coalesce,ta004"
"What is the difference between try() and coalesce()?","try(expr, fallback) catches ERRORS — returns the first argument that evaluates without error. coalesce(val1, val2) skips null and empty string — returns the first non-null, non-empty value. Use try() for optional object attributes or failing type conversions. Use coalesce() for 'use this value if set, otherwise fall back.'","demo06,locals,try,coalesce"
"You call merge(local.common_tags, var.extra_tags). Both have key 'Owner'. Which value appears?","var.extra_tags's value — merge() uses right-most-wins for key conflicts. merge(common, extra) means extra wins. merge(extra, common) would mean common wins.","demo06,locals,merge"
"Can locals reference other locals? Does the order they are written in matter?","Yes, locals can reference other locals. No, order does not matter — Terraform resolves the dependency order automatically from references within each expression, exactly as it does for resources.","demo06,locals,ordering"
"What happens if two locals reference each other circularly?","terraform plan errors: 'Cycle in local values: local.a -> local.b -> local.a'. Detected at plan time before evaluating any value. Fix: break the cycle by extracting the shared value into a third local that neither side references back.","demo06,locals,circular"
"A locals block has a map value with a key literally named 'type', e.g. local.c = { type = string, value = 'test' }. Does this declare a type constraint on local.c?","No — locals have no type-constraint mechanism at all. 'type' here is just an ordinary map key holding the string value 'string' (or whatever expression follows it). It looks like it might be enforcing something the way variable blocks do, but it is not — local.c.type just returns that literal value.","demo06,locals,break-fix"
"The same jsonencode()+merge() pattern used for an IAM trust policy is applied to an SNS topic's resource policy. Does this mean the pattern is IAM-specific?","No — jsonencode() and merge() are general-purpose functions with no awareness of which AWS resource consumes their output. The same locals (name_prefix, common_tags, trusted_principals) can drive any number of unrelated resources without any IAM-specific logic in that reuse.","demo06,locals,jsonencode,generalization"
"Why does merge(local.caller_tags, local.base_tags) silently produce the wrong result if the intent was 'caller overrides base'?","Because merge() is right-most-wins, and base_tags is listed last here — so base_tags's values win over caller_tags's, the opposite of the intended behavior. There's no error; it just silently applies the wrong precedence. Fix: reverse the argument order.","demo06,locals,merge,break-fix"
"Can locals reference resources and data sources? Can variables?","Locals: yes — a local can reference data.aws_caller_identity.current.account_id, a resource attribute, another local, or a variable. Variables: no — a variable can only reference var.<itself>, and only inside its own validation block.","demo06,locals,variables"
"An SNS topic policy manually constructs its own ARN using region + account_id + name. What is the safer alternative when the topic is managed by the same configuration?","Reference the resource's own .arn attribute directly (e.g. aws_sns_topic.x.arn) instead of reconstructing it from parts. Manual construction risks drift if any component doesn't match the resource's actual ARN.","demo06,troubleshooting,arn"
