#deck:Terraform AWS Mastery::Phase 1 - Foundations::02-providers
#separator:Comma
#columns:Front,Back,Tags
"What does the ~> version constraint operator do? Give an example.","Pessimistic constraint — allows patch and/or minor updates within a locked boundary. ~> 6.47.0 allows 6.47.x only (patch updates), blocks 6.48.0. ~> 6.0 allows any 6.x, blocks 7.0.0. Most common operator for root modules.","demo02,versions,ta004-obj2b"
"You have two engineers — one on Linux, one on macOS. Both run terraform init. The macOS engineer gets a checksum mismatch error. What is the cause and fix?","The lock file only has zh: hashes for the Linux platform. The macOS zh: hash is not present. Fix: run terraform providers lock -platform=linux_amd64 -platform=darwin_arm64 -platform=windows_amd64 to add hashes for all platforms. Commit the updated lock file.","demo02,lockfile,platforms,ta004-obj2d"
"What is the difference between h1: and zh: hash prefixes in the lock file?","h1: = hash of the provider zip archive as a whole — platform-independent, same value across all OS/arch combinations. zh: = hash of individual files inside the zip — platform-specific, different for linux_amd64 vs darwin_arm64 vs windows_amd64. Terraform verifies both on download.","demo02,lockfile,hashes,ta004-obj2d"
"Can two provider aliases use different versions of the same provider?","No. All instances of the same provider — including all aliases — share one version constraint declared in required_providers. You cannot pin aws to 6.47.0 for us-east-2 and 6.46.0 for us-west-2. One version for the whole provider.","demo02,aliases,versions,ta004-obj2c"
"What does the provider meta-argument do on a resource?","Explicitly assigns the resource to a specific provider alias. Format: provider = aws.west where aws is the provider local name and west is the alias. Without this, the resource uses the default provider. Required for every resource in a multi-provider config that should use a non-default instance.","demo02,aliases,meta-arguments,ta004-obj2c"
"You declare provider aws alias=west in provider.tf but forget to add provider = aws.west on aws_s3_bucket_versioning for the archive bucket. What happens?","Terraform routes the PutBucketVersioning API call to the default provider (us-east-2). The archive bucket lives in us-west-2. Result: NoSuchBucket error — confusing because the bucket exists, just not in the region the default provider targets.","demo02,aliases,troubleshooting"
"What does terraform providers command show?","Lists every provider the configuration requires, their version constraints, and which resources use each provider instance. Shows both the default and aliased instances of the same provider separately.","demo02,cli,providers,ta004-obj2a"
"What is the safe workflow for upgrading a provider version?","1. Update the constraint in versions.tf. 2. Run terraform init -upgrade. 3. Run terraform plan — confirm zero infrastructure changes. 4. Test in non-production first. 5. Commit versions.tf AND .terraform.lock.hcl together as one atomic commit.","demo02,upgrade,lockfile,ta004-obj2b"
"What is the difference between provider aliases and the v6 per-resource region argument?","Aliases: second provider block with alias=name, set region in provider block, all resources for that region use provider=aws.alias. Per-resource region (v6): set region directly on the resource — no second provider block needed. Use aliases when credentials differ per region. Use per-resource region when only the region differs.","demo02,aliases,v6,ta004-obj2c"
"How does Terraform map an aws_s3_bucket resource to the aws provider?","By the resource type prefix. aws_s3_bucket starts with aws_ which maps to the provider with local name aws declared in required_providers. This is why the local name must match the resource type prefix. Renaming the local name to amazon would break all aws_* resources.","demo02,providers,mapping,ta004-obj2a"
"What is ~> 6.0 vs ~> 6.47.0 as a version constraint? When would you use each?","~> 6.0 allows any 6.x.x version (6.0, 6.1, 6.47...), blocks 7.0.0. ~> 6.47.0 allows only 6.47.x, blocks 6.48.0. Use ~> 6.47.0 in root modules to pin to a known-good minor version. Use ~> 6.0 in reusable child modules to allow callers more flexibility.","demo02,versions,ta004-obj2b"
"What command updates providers to the latest version allowed by current constraints?","terraform init -upgrade. Without -upgrade, terraform init uses the version already in the lock file (never downloads newer). With -upgrade, Terraform re-resolves the constraint and downloads the latest matching version, updating the lock file.","demo02,upgrade,cli,ta004-obj2b"
"What does committing .terraform.lock.hcl guarantee for a team?","Every engineer and every CI runner that runs terraform init downloads the exact same provider binary — same version, verified by the same SHA256 hashes. Prevents the situation where different team members get different patch versions and produce different plan results for identical configs.","demo02,lockfile,teams,ta004-obj2d"
"You run terraform providers and see two entries under provider[registry.terraform.io/hashicorp/aws] ~> 6.47.0 — one labelled 'aws — default, us-east-2' and one 'aws.west — aliased, us-west-2'. What does this confirm?","Both the default provider and the aliased provider (west) are correctly declared and resolve to the same version constraint (~> 6.47.0) as required — aliases must share one version. The two entries show two configurations of the same provider, not two different providers. This is a read-only command — it downloads and installs nothing.","demo02,providers,cli,ta004-obj2a"
"After apply, terraform state show aws_s3_bucket.archive shows provider = \"provider[\\\"registry.terraform.io/hashicorp/aws\\\"].west\". What does the .west suffix confirm?","It confirms this specific resource is managed by the ALIASED provider instance (us-west-2), not the default (us-east-2) instance. This is the definitive way to verify provider routing for a resource after apply — the plan output region field is a useful early signal, but state show with the provider field is the authoritative confirmation.","demo02,providers,state,ta004-obj2c"
"You run terraform apply and get NoSuchBucket on aws_s3_bucket_versioning.archive. The bucket aws_s3_bucket.archive WAS successfully created in us-west-2. What is the most likely cause?","aws_s3_bucket_versioning.archive is missing the provider = aws.west meta-argument. Without it, Terraform routes the versioning API call to the default provider (us-east-2), where the bucket doesn't exist. Fix: add provider = aws.west to every configuration resource associated with an aliased bucket.","demo02,break-fix,aliases,troubleshooting"
"terraform validate fails with: A managed resource 'aws_s3_bucket.archive' has been declared with 'enabled' as the versioning status. What is the fix?","HCL boolean-like string values for this argument are case-sensitive. 'enabled' (lowercase) is invalid — the valid values are 'Enabled', 'Suspended', or 'Disabled' (title case). Fix: versioning_configuration { status = \"Enabled\" }.","demo02,break-fix,s3,case-sensitivity"
"What are the two layers of security Terraform uses to protect provider downloads, and what does each protect against?","Layer 1 — GPG signature: HashiCorp signs every provider binary; Terraform verifies against HashiCorp's public key on every download, rejecting anything not signed by HashiCorp. Protects the FIRST download. Layer 2 — SHA256 hashes in the lock file: recorded on first init, checked on every SUBSEQUENT init. If the registry ever served a different binary later (even one with a valid signature), the hash wouldn't match and init would fail. The two layers are not redundant — each protects a different moment.","demo02,lockfile,security,gpg,needs-verification"
"Beyond region, profile, and alias, what do assume_role, endpoints, and ignore_tags do in a provider aws block?","assume_role: assumes an IAM role before making API calls, used for cross-account access. endpoints: overrides AWS service endpoint URLs, used for LocalStack or VPC endpoints. ignore_tags: specifies tag keys to ignore during plan, preventing drift detection on tags managed outside Terraform (e.g. by a separate tagging automation tool).","demo02,provider-block,arguments"
