#deck:Terraform AWS Mastery::Phase 1 - Foundations::08-data-sources
#separator:Comma
#columns:Front,Back,Tags
"What is the core distinction between a data block and a resource block?","A resource block tells Terraform to create, update, and destroy something — full lifecycle management, tracked in state. A data block only reads something that already exists — removing a data block from the configuration never destroys anything in AWS.","demo08,data-sources,ta004-obj4a"
"Does data.aws_caller_identity require any arguments?","No — the body is intentionally empty ({}). It makes a single sts:GetCallerIdentity call and returns account_id, arn, and user_id with no input needed.","demo08,data-sources,caller-identity"
"data.aws_iam_policy has a typo in its name argument. What happens at terraform plan?","It errors immediately with 'no matching IAM policy found' — not a silent empty result. The typo must be fixed before plan succeeds.","demo08,data-sources,break-fix,ta004-obj4a"
"Does count work the same way on a data block as it does on a resource block?","Yes — identical rules. count = 0 produces an empty list for that data source; count = 1 produces a single instance addressed as data.x.y[0]. Full multiplicity coverage (for_each, splat) is Demo 10.","demo08,data-sources,count,ta004-obj4a"
"A count-gated data source has count = 0 in the current plan. A teammate references data.x.y[0].attr directly. What happens?","Error: Invalid index — 'the collection has no elements.' This is the same generic out-of-bounds error any empty-list index access produces, not something data-source-specific. Guard with length(data.x.y) > 0 first.","demo08,data-sources,count,break-fix"
"Why does data.aws_ami require most_recent = true when multiple AMIs could match the filters?","Without it, data.aws_ami errors if more than one image matches — Terraform never silently picks one for you. most_recent = true makes the tie-breaking rule explicit rather than leaving ambiguous resolution to chance.","demo08,data-sources,ami,ta004-obj4a"
"What is the simplest test for whether something belongs in a data block vs. a resource block?","Ask: does removing this block from the configuration destroy anything real? If no, it's data. If yes, it's resource. This is the cleanest way to decide, since data never has lifecycle ownership.","demo08,data-sources,distinction"
"Why might you use data.aws_iam_policy instead of hardcoding a well-known AWS-managed policy ARN?","Readability/self-documentation (the code says 'the S3 read-only policy' by name, not an opaque ARN), plus it exposes the policy's actual JSON document via .policy if you need to reference specific statements — something a hardcoded ARN string alone can't provide.","demo08,data-sources,iam-policy"
"What does 'Resources: 0 added, 0 changed, 0 destroyed' mean after applying a configuration made entirely of data blocks?","This is expected and correct — data reads don't count as resources added, changed, or destroyed. They're reads, not managed lifecycle events, so a data-only configuration always reports zero on all three counts.","demo08,data-sources,apply"
"data.aws_iam_policy requires name or arn. When would you use arn instead of name?","Use arn when the policy name alone could be ambiguous or when you already have the ARN available — arn is a more precise, unambiguous identifier. One of name or arn is required; providing both or neither is invalid.","demo08,data-sources,iam-policy,ta004-obj4a"
