#deck:Terraform AWS Mastery::Phase 1 - Foundations::01-tf-fundamentals-s3
#separator:Comma
#columns:Front,Back,Tags
"You get: NoSuchPublicAccessBlockConfiguration when applying aws_s3_bucket_public_access_block. What causes this and how do you fix it?","Race condition — AWS S3 eventual consistency. CreateBucket returned 200 OK but the bucket had not fully propagated internally when PutPublicAccessBlock was called. Fix: add depends_on = [aws_s3_bucket.app] to the public access block resource. This forces sequential execution.","demo01,s3,depends_on,race-condition,ta004-obj4,needs-verification"
"What is a meta-argument in Terraform? Name all five.","A meta-argument is a special argument available on every resource block regardless of provider — controls Terraform's own behaviour. The five: depends_on (explicit dependency), count (N copies), for_each (one per map/set item), provider (which alias), lifecycle (create/update/delete behaviour).","demo01,meta-arguments,ta004-obj4"
"What does depends_on do differently from an implicit attribute reference?","Implicit reference (aws_s3_bucket.app.id): creates graph dependency, starts dependent immediately when bucket API returns 200. depends_on: waits for the dependency to fully complete ALL operations before starting the dependent — gives AWS time to propagate internally.","demo01,depends_on,s3,ta004-obj4"
"What specific versions are AWS provider v5 and v6?","v5 = versions 5.x, released May 2023. v6 = versions 6.x, released June 2025 with breaking changes from v5. This series uses v6.47.0. Key v6 change: all S3 inline configuration blocks removed — standalone resources required.","demo01,provider,versions,ta004-obj2"
"In AWS provider v6 you write versioning {} inside aws_s3_bucket. What happens?","terraform validate errors: An argument named versioning is not expected here. v6 removed all inline S3 blocks. Fix: use aws_s3_bucket_versioning standalone resource.","demo01,s3,v6,ta004-obj2"
"What are the four standalone resources for a production-grade S3 bucket in v6?","1. aws_s3_bucket — the bucket. 2. aws_s3_bucket_versioning — version history. 3. aws_s3_bucket_server_side_encryption_configuration — AES256 or KMS. 4. aws_s3_bucket_public_access_block — all four booleans true.","demo01,s3,v6,ta004-obj4"
"What does default_tags in the AWS provider block do?","Tags in default_tags are automatically merged into every resource created by that provider. No need to write tags = local.common_tags in every resource block. Resource-level tags merge on top — in conflicts the resource-level tag wins.","demo01,provider,tags,ta004-obj2"
"Why must the S3 state bucket be created outside Terraform?","Chicken-and-egg: Terraform needs the state bucket to exist before it can initialise the backend. You cannot use Terraform to create the bucket that stores Terraform's own state. Create via Console first.","demo01,state,backend,ta004-obj5"
"What does terraform init -migrate-state do?","Copies existing local state to the newly configured remote backend. Prompts for confirmation. Local terraform.tfstate becomes stale backup. S3 copy is now authoritative for all future applies.","demo01,state,backend,ta004-obj5,live-verified"
"What is state locking and why is it needed?","Prevents two simultaneous terraform apply runs from corrupting state. Without locking: two applies read same state, both write results, one overwrites the other — resources exist in AWS but disappear from state. Locking ensures only one apply modifies state at a time.","demo01,state,locking,ta004-obj5b"
"Is DynamoDB required for S3 state locking in Terraform 1.11+?","No. use_lockfile = true uses S3 conditional writes to create a .tfstate.tflock file. dynamodb_table is deprecated in v1.11. No DynamoDB table, no extra cost, no extra service dependency.","demo01,state,locking,ta004-obj5b,needs-verification"
"How does S3 native locking work technically?","S3 conditional write attempts to create terraform.tfstate.tflock — only succeeds if the file does not already exist (atomic operation). If file exists: another apply is running — error. When apply finishes: .tflock file deleted. Lock released.","demo01,state,locking,ta004-obj5b,live-verified"
"Can you lock local state? Why or why not?","No. Locking only makes sense for shared remote state. A lock on your local machine protects nothing — no other machine can access your local file. State locking is a coordination mechanism between multiple machines.","demo01,state,locking,ta004-obj5b"
"What does terraform plan -refresh-only do?","Reads actual current state from AWS via provider Read() API, compares to last known state in .tfstate, shows what changed outside Terraform. Makes ZERO changes to infrastructure or state. Use to detect drift.","demo01,drift,plan,ta004-obj3,live-verified"
"After detecting drift with terraform plan -refresh-only, what are your two choices?","1. terraform apply -refresh-only: accepts drift into state — keeps the manual change. 2. terraform apply: removes drift — reconciles AWS back to desired state in .tf files. Choice 2 is correct production behaviour (Terraform is source of truth).","demo01,drift,apply,ta004-obj3,live-verified"
"How much does AES256 (SSE-S3) encryption cost on S3?","Always free — AWS absorbs the cost of S3-managed keys. SSE-KMS (customer-managed keys) is paid: $0.03 per 10,000 requests + $1/month per CMK. Use AES256 unless you need key rotation audit trails.","demo01,s3,encryption"
"What does S3 versioning on the state bucket give you?","Every terraform apply creates a new version of the state file. Recovery procedure: Console → state bucket → terraform.tfstate → Show versions → download older version → terraform state push terraform.tfstate. This is the undo button for state corruption.","demo01,state,versioning"
"Two terraform {} blocks exist — versions.tf and backend.tf. Is this valid?","Yes. Terraform merges all .tf files in a directory. backend {} in backend.tf merges with required_version and required_providers in versions.tf. Only restriction: same setting cannot be declared twice.","demo01,hcl,backend,ta004-obj2"
"What does force_destroy = true on aws_s3_bucket do?","Allows terraform destroy to delete the bucket even if it contains objects — Terraform deletes all objects first. Remove in production — prevents accidental deletion of live data. Use only in demo/test environments.","demo01,s3,force_destroy,needs-verification"
"What is the S3 state bucket naming convention and why?","tfstate-project-accountid-region. Example: tfstate-cloudnova-163125980376-us-east-2. Account ID = globally unique across all AWS accounts. Region = location explicit. Avoids generic names that conflict across projects.","demo01,state,naming"
